transaction_id,account_id,customer_id,transaction_datetime,amount,currency,transaction_type,channel,merchant_id,merchant_category,country_code,status,card_number_masked,reference_id
TXN-2026-001,ACC-1001,CUST-5001,2026-03-21 08:14:23,1500.00,AED,DEBIT,MOBILE,MCH-4421,GROCERY,AE,COMPLETED,****-****-****-4521,
TXN-2026-002,ACC-1002,CUST-5002,2026-03-21 08:22:11,45000.00,USD,INTERNATIONAL,BRANCH,,WIRE_TRANSFER,US,COMPLETED,,,REF-INT-88821
TXN-2026-003,ACC-1003,CUST-5003,2026-03-21 08:45:00,250.50,EUR,DEBIT,POS,MCH-7732,RESTAURANT,DE,COMPLETED,****-****-****-9901,
TXN-2026-004,ACC-1001,CUST-5001,2026-03-21 09:01:44,39500.00,AED,CREDIT,ATM,,,AE,COMPLETED,****-****-****-4521,
TXN-2026-005,ACC-1004,CUST-5004,2026-03-21 09:15:33,39800.00,AED,DEBIT,ONLINE,MCH-2211,ELECTRONICS,AE,COMPLETED,****-****-****-3312,
TXN-2026-006,ACC-1004,CUST-5004,2026-03-21 09:28:17,39900.00,AED,DEBIT,ONLINE,MCH-5543,ELECTRONICS,AE,COMPLETED,****-****-****-3312,
TXN-2026-007,ACC-1004,CUST-5004,2026-03-21 09:44:52,39750.00,AED,DEBIT,ONLINE,MCH-8821,ELECTRONICS,AE,COMPLETED,****-****-****-3312,
TXN-2026-008,ACC-1005,CUST-5005,2026-03-21 10:05:00,5000.00,AED,WITHDRAWAL,ATM,,,AE,COMPLETED,****-****-****-7743,
TXN-2026-009,ACC-1006,CUST-5006,2026-03-21 10:22:18,1250.75,GBP,DEBIT,POS,MCH-6634,HOTEL,GB,COMPLETED,****-****-****-8821,
TXN-2026-010,ACC-1007,CUST-5007,2026-03-21 10:45:33,10000.00,AED,DEBIT,BRANCH,,,AE,PENDING,****-****-****-2234,
TXN-2026-011,ACC-1008,CUST-5008,2026-03-21 11:02:44,75.25,USD,DEBIT,ONLINE,MCH-9921,STREAMING,US,COMPLETED,****-****-****-5567,
TXN-2026-012,ACC-1002,CUST-5002,2026-03-21 11:30:00,500000.00,AED,CREDIT,SWIFT,,,AE,FLAGGED,,,REF-SWIFT-44521
